date,symbol,prev_close,open,high,low,close,volume
2026-06-08,SWBBL,25.28,744.00,744.00,736.00,743.90,"1,589,794.70"
2026-06-08,SWMF,26.43,664.10,665.00,663.00,665.00,"1,272,482.00"
2026-06-08,SYPNL,21.39,"1,352.80","1,434.70","1,352.80","1,405.00","54,449,469.90"
2026-06-08,TAMOR,26.89,470.00,470.00,461.00,464.00,"24,936,732.70"
2026-06-08,TPC,28.16,370.00,371.00,365.00,367.90,"9,143,645.70"
2026-06-08,TRH,39.00,741.00,770.00,741.00,770.00,"1,687,288.00"
2026-06-08,TSHL,26.80,563.00,574.90,560.00,560.00,"1,263,227.80"
2026-06-08,TTL,30.34,811.30,820.00,805.10,808.00,"9,255,285.70"
2026-06-08,TVCL,23.70,499.00,515.00,498.20,503.00,"3,451,990.00"
2026-06-08,UAIL,45.54,482.00,490.00,475.30,478.00,"17,103,504.00"
2026-06-08,UHEWA,30.06,586.30,591.00,583.10,590.10,"9,636,844.80"
2026-06-08,ULBSL,49.46,"2,800.00","3,220.00","2,800.00","3,220.00","14,365,997.90"
2026-06-08,ULHC,27.40,462.90,464.00,460.00,463.50,"2,965,612.50"
2026-06-08,UMHL,30.87,575.10,584.00,575.10,584.00,"16,590,835.00"
2026-06-08,UMRH,26.32,544.00,548.00,537.00,547.90,"3,051,666.40"
2026-06-08,UNHPL,30.62,425.00,433.60,422.00,424.00,"17,827,609.80"
2026-06-08,UNL,30.39,"46,900.00","46,900.00","46,725.00","46,725.00","2,805,250.00"
2026-06-08,UNLB,40.80,"1,366.00","1,400.00","1,365.00","1,399.90","1,838,983.00"
2026-06-08,UPCL,26.51,360.00,372.00,360.00,370.50,"12,884,175.30"
2026-06-08,UPPER,25.83,203.10,205.00,202.10,203.00,"14,528,207.30"
2026-06-08,USHEC,22.85,507.00,507.00,503.30,505.00,"2,023,617.50"
2026-06-08,USHL,27.63,621.00,621.00,603.10,610.00,"570,006.40"
2026-06-08,USLB,24.85,"1,250.00","1,260.00","1,245.00","1,255.00","692,731.40"
2026-06-08,VLBS,43.92,702.70,714.00,702.70,705.30,"1,357,438.90"
2026-06-08,VLUCL,26.74,481.10,491.00,481.10,490.00,"1,214,051.20"
2026-06-08,WNLB,19.53,"1,430.00","1,472.90","1,430.00","1,451.00","137,824.00"
