symbol,ltp,open,high,low,volume,prev_close
HEIP,352.00,360.00,360.00,352.00,"7,120.00",41.81
HFIN,886.00,925.00,925.00,875.30,"87,534,480.10",25.84
HHL,358.30,360.00,367.00,355.00,"13,974,885.90",28.08
HIDCL,265.00,265.50,269.50,264.00,"16,333,229.10",28.07
HIDCLP,201.40,202.00,202.70,200.00,"22,939,715.80",27.15
HIMSTAR,846.00,860.00,860.00,837.00,"5,153,782.90",23.54
HLBSL,899.90,887.00,899.90,883.30,"110,835.20",39.57
HLI,341.90,344.00,348.00,340.50,"13,335,359.10",30.51
HLICF,9.35,9.00,9.37,9.00,"155,274.00",41.85
HPPL,374.20,373.00,380.00,373.00,"12,371,967.20",29.89
HRL,661.00,631.10,679.00,631.10,"52,201,593.90",44.07
HURJA,252.50,255.10,257.50,250.10,"10,724,763.20",22.11
ICFC,649.00,642.90,657.70,642.90,"29,514,112.90",47.77
ICFCD88,"1,157.00","1,157.00","1,157.00","1,157.00","28,925.00",43.19
ICFCD89,"1,105.00","1,095.00","1,097.00","1,090.00","54,800.00",39.71
IGI,460.70,461.00,474.80,460.00,"6,685,600.10",40.50
IHL,402.00,402.00,408.90,400.50,"6,979,599.50",24.68
ILBS,916.00,915.10,929.60,914.00,"6,039,995.10",31.03
ILI,441.50,448.90,449.00,441.00,"3,830,028.40",27.93
JBBL,359.90,355.00,364.70,355.00,"14,012,956.50",27.13
JBLB,"1,297.00","1,300.00","1,310.00","1,290.60","3,396,828.70",25.34
JFL,428.60,422.00,433.00,421.00,"8,510,870.90",50.11
JHAPA,"1,380.00","1,320.40","1,391.00","1,320.40","26,432,066.70",27.39
JOSHI,278.00,283.00,283.00,277.50,"3,098,015.00",35.80
JSLBB,"1,095.00","1,096.00","1,096.00","1,095.00","76,700.00",31.69
KBL,215.40,217.50,217.50,214.00,"46,454,140.30",28.33
KBLD86,"1,180.00","1,180.00","1,180.00","1,180.00","11,800.00",25.12
KBLD90,"1,206.00","1,210.00","1,210.00","1,210.00","9,648.00",18.40
KBSH,"1,543.00","1,550.00","1,550.00","1,530.00","46,230.00",20.88
KDBY,11.40,11.11,11.44,11.11,"2,832,812.00",25.63
KDL,834.00,840.00,849.60,815.00,"1,321,954.60",31.18
KEF,10.90,10.84,10.91,10.84,"76,269.00",25.33
KHPL,757.60,691.70,757.60,691.70,"331,975.00",33.45
KKHC,264.00,282.90,282.90,262.00,"15,827,067.00",27.68
KMCDB,871.00,872.00,872.00,861.00,"431,440.50",31.28
KPCL,495.00,491.50,497.50,490.10,"4,029,083.90",28.76
KSBBL,491.00,499.90,504.70,487.00,"24,273,012.10",33.11
KSBBLD87,"1,132.00","1,132.00","1,132.00","1,132.00","22,640.00",29.76
KSY,9.75,9.99,9.99,9.75,"18,938.00",24.52
LBBL,500.00,505.00,505.00,498.10,"9,622,598.70",41.87
LBLD88,"1,144.80","1,063.00","1,144.80","1,063.00","73,630,402.40",50.11
LEC,223.10,223.60,225.90,222.10,"12,381,092.30",21.80
LICN,818.00,820.10,821.00,816.10,"31,502,825.70",37.61
LLBS,945.00,948.00,948.00,930.00,"100,965.00",25.22
LSL,221.20,227.00,227.00,220.30,"15,749,663.40",27.26
LUK,9.94,9.92,9.94,9.92,"2,980.00",21.18
LVF2,9.96,9.72,10.01,9.72,"16,907.00",24.36
MABEL,689.00,705.00,727.50,686.20,"19,584,506.60",33.28
MAKAR,496.60,500.00,500.00,495.00,"2,284,986.40",24.74
MANDU,820.00,802.10,830.00,802.10,"867,496.50",26.31
MATRI,902.00,904.00,910.00,890.00,"805,815.30",46.82
MBJC,286.00,285.00,288.20,283.00,"3,337,897.00",25.04
MBL,249.70,253.90,254.00,248.00,"21,137,301.40",28.97
MBLEF,10.20,10.00,10.20,10.00,"435,396.00",26.84
MCHL,315.30,313.40,318.00,313.00,"1,239,700.50",23.68
MDB,620.40,618.40,630.00,616.00,"4,048,928.80",34.40
MEHL,377.60,370.00,385.00,370.00,"2,037,790.20",29.55
MEL,240.00,250.00,250.00,240.00,"1,854,686.50",19.80
MEN,612.00,620.00,630.00,608.20,"26,548,723.50",27.02
MERO,730.70,734.00,744.90,720.00,"3,559,761.10",35.47
MFIL,804.90,778.10,805.00,770.60,"96,054,740.20",41.22
MHCL,354.00,350.60,355.00,348.00,"3,606,999.80",31.26
MHL,500.00,498.10,504.00,498.00,"3,145,402.00",27.47
MHNL,262.00,267.00,268.00,258.00,"5,566,194.70",26.69
MKCL,"1,267.00","1,260.00","1,270.00","1,251.00","2,011,058.00",27.78
MKHC,321.00,324.00,325.00,316.10,"4,957,714.50",27.54
MKHL,515.00,510.00,525.00,503.00,"4,890,701.80",28.79
MKJC,503.50,492.10,503.80,492.10,"2,387,278.80",26.84
MLBBL,"1,209.50","1,200.00","1,209.50","1,181.00","1,834,257.90",41.02
MLBL,367.50,351.50,377.00,351.50,"4,863,792.30",27.42
MLBS,"1,275.00","1,255.00","1,289.90","1,217.90","456,432.00",30.83
MLBSL,"1,790.00","1,770.00","1,790.00","1,770.00","214,590.00",23.47
MMF1,9.45,9.53,9.53,8.93,"123,547.00",27.66
MMKJL,518.00,525.00,525.00,515.00,"1,870,297.11",27.48
MNBBL,375.00,376.00,377.00,373.00,"8,028,764.10",30.17
MND84/85,"1,076.10","1,069.90","1,076.10","1,069.90","53,650.00",43.27
MNMF1,9.85,9.82,9.90,9.82,"71,902.00",24.46
MPFL,642.00,634.00,659.00,634.00,"45,720,102.70",49.23
MSHL,690.00,689.90,690.00,680.00,"99,074.00",31.17
MSLB,"1,228.00","1,222.00","1,242.00","1,222.00","818,488.70",28.43
NABBC,916.90,905.00,917.00,905.00,"1,198,158.90",30.42
NABIL,535.00,537.00,540.00,535.00,"20,863,977.40",29.44
NABILD87,"1,152.10","1,152.00","1,152.10","1,152.00","32,689,682.80",44.19
NADEP,755.20,762.00,764.90,755.10,"1,677,467.30",34.16
